ticker,exchange,assetType,priceCurrency,startDate,endDate
TAHMX,NMFQS,Mutual Fund,USD,,
TAHO,NYSE,Stock,USD,2010-09-23,2019-03-18
TAHRX,NMFQS,Mutual Fund,USD,2017-06-12,2020-06-29
TAHTX,NMFQS,Mutual Fund,USD,2012-08-03,2020-06-29
TAHUX,NMFQS,Mutual Fund,USD,,
TAHWX,NMFQS,Mutual Fund,USD,2017-06-12,2019-12-05
TAHYX,NMFQS,Mutual Fund,USD,1999-01-04,2020-06-29
TAHZX,NMFQS,Mutual Fund,USD,2015-01-02,2015-08-07
TAI,NYSE,ETF,USD,1987-12-30,2015-11-27
TAIAX,NMFQS,Mutual Fund,USD,2012-05-21,2020-06-29
TAIBX,NMFQS,Mutual Fund,USD,1994-01-03,2020-06-29
TAICF,OTCGREY,Stock,USD,2020-06-19,2020-06-19
TAICX,NMFQS,Mutual Fund,USD,2012-05-21,2020-06-29
TAIEX,NMFQS,Mutual Fund,USD,1994-01-03,2018-01-05
TAIFX,NMFQS,Mutual Fund,USD,2012-05-21,2020-06-29
TAIGX,NMFQS,Mutual Fund,USD,2017-06-12,2017-08-11
TAIHX,NMFQS,Mutual Fund,USD,,
TAIL,BATS,ETF,USD,2017-06-13,2020-06-29
TAINX,NMFQS,Mutual Fund,USD,2016-01-04,2020-06-29
TAIOX,NMFQS,Mutual Fund,USD,,
TAIPY,PINK,Stock,USD,2017-10-09,2020-06-29
TAIQX,NMFQS,Mutual Fund,USD,2017-01-03,2019-12-05
TAISF,OTCGREY,Stock,USD,2017-10-12,2020-06-02
TAISX,NMFQS,Mutual Fund,USD,2017-01-03,2020-06-29
TAIT,NASDAQ,Stock,USD,1995-04-19,2020-06-29
TAITX,NMFQS,Mutual Fund,USD,2017-01-03,2019-12-05
TAIUF,OTCGREY,Stock,USD,,
TAIWX,NMFQS,Mutual Fund,USD,2018-12-06,2020-06-29
TAK,NYSE,Stock,USD,2008-10-27,2020-06-29
TAKD,PINK,Stock,USD,2017-09-26,2020-06-24
TAKGF,OTCGREY,Stock,USD,,
TAKMX,NMFQS,Mutual Fund,USD,,
TAKOF,OTCQX,Stock,USD,2017-09-22,2020-06-29
TAKRF,OTCMKTS,Stock,USD,2017-09-22,2018-08-01
TAKUF,PINK,Stock,USD,2017-09-26,2020-06-24
TAL,NYSE,Stock,USD,2010-10-20,2020-06-29
TAL1,,Stock,USD,,
TALC,PINK,Stock,USD,2000-02-14,2020-06-22
TALCX,NMFQS,Mutual Fund,USD,2016-01-04,2020-06-29
TALFX,NMFQS,Mutual Fund,USD,2012-08-03,2020-06-29
TALK,OTCBB,Stock,USD,2016-01-04,2019-03-06
TALK1,,Stock,USD,,
TALL,NASDAQ,Stock,USD,2016-07-11,2017-03-21
TALLX,NMFQS,Mutual Fund,USD,,
TALN,PINK,Stock,USD,1998-01-23,2020-06-29
TALO,NYSE,Stock,USD,2018-05-10,2020-06-29
TALO-WS,AMEX,Stock,USD,2018-05-10,2020-06-29
TALPX,NMFQS,Mutual Fund,USD,2017-01-03,2019-12-05
TALR,PINK,Stock,USD,2017-09-25,2019-03-13
TALR1,NASDAQ,Stock,USD,,
TALRX,NMFQS,Mutual Fund,USD,2017-06-12,2020-06-29
TALSX,NMFQS,Mutual Fund,USD,2014-03-03,2016-05-17
TALTX,NMFQS,Mutual Fund,USD,,
TALTX,NMFQS,Mutual Fund,USD,2018-02-15,2020-06-29
TALX,NASDAQ,Stock,USD,,
TAM,NYSE,Stock,USD,2000-01-03,2014-12-05
TAMAX,NMFQS,Mutual Fund,USD,2016-01-04,2020-06-29
TAMB,NASDAQ,Stock,USD,,
TAMBX,NMFQS,Mutual Fund,USD,1991-01-02,2020-06-29
TAMCX,NMFQS,Mutual Fund,USD,,
TAMFX,NMFQS,Mutual Fund,USD,,
TAMG,PINK,Stock,USD,2002-03-15,2020-06-29
TAMGX,NMFQS,Mutual Fund,USD,2017-01-03,2019-12-05
TAMHX,NMFQS,Mutual Fund,USD,2017-01-03,2019-12-05
TAMK,,Stock,USD,,
TAMLX,NMFQS,Mutual Fund,USD,2017-01-03,2019-12-05
TAMMX,NMFQS,Mutual Fund,USD,2016-01-04,2020-06-29
TAMO,PINK,Stock,USD,2007-11-13,2019-03-20
TAMOX,NMFQS,Mutual Fund,USD,2017-01-03,2019-12-05
TAMR,NASDAQ,Stock,USD,,
TAMTX,NMFQS,Mutual Fund,USD,2017-06-12,2019-12-05
TAMUX,NMFQS,Mutual Fund,USD,2013-01-02,2020-06-29
TAMVX,NMFQS,Mutual Fund,USD,2003-01-02,2020-06-29
TAMXX,NMFQS,Mutual Fund,USD,,
TAN,NYSE ARCA,ETF,USD,2008-04-15,2020-06-29
TANAX,NMFQS,Mutual Fund,USD,2006-05-01,2019-02-01
TANBX,NMFQS,Mutual Fund,USD,2017-06-12,2019-02-05
TANDX,NMFQS,Mutual Fund,USD,2019-03-22,2020-06-29
TANH,NASDAQ,Stock,USD,2015-03-24,2020-06-29
TANN,NASDAQ,Stock,USD,,
TANNI,NASDAQ,Stock,USD,2013-01-22,2020-06-29
TANNL,NASDAQ,Stock,USD,2014-12-19,2020-06-29
TANNZ,NASDAQ,Stock,USD,2015-10-09,2020-06-29
TANO,NYSE,Stock,USD,,
TANP,NYSE,Stock,USD,,
TAO,NYSE ARCA,ETF,USD,2007-12-18,2020-02-14
TAOEF,OTCGREY,Stock,USD,2016-12-21,2019-06-13
TAOHY,OTCGREY,Stock,USD,,
TAOIF,OTCQX,Stock,USD,2000-01-05,2020-06-29
TAOM,NYSE,Stock,USD,2016-01-04,2016-06-22
TAOP,NASDAQ,Stock,USD,2006-09-12,2020-06-29
TAP,NYSE,Stock,USD,1984-09-07,2020-06-29
TAP-A,NYSE,Stock,USD,2006-02-27,2020-06-29
TAP1,,Stock,USD,,
TAPB,,Stock,USD,,
TAPCF,PINK,Stock,USD,2003-04-30,2018-05-10
TAPM,PINK,Stock,USD,2017-09-22,2020-06-29
TAPMW,NASDAQ,Stock,USD,,
TAPOF,PINK,Stock,USD,2007-05-10,2020-06-29
TAPP,PINK,Stock,USD,2009-12-24,2020-06-16
TAPR,NASDAQ,ETF,USD,2014-07-15,2020-06-29
TAPRX,NMFQS,Mutual Fund,USD,2010-01-04,2020-06-29
TAQR,PINK,Stock,USD,2017-05-08,2020-03-18
TAQXX,NMFQS,Mutual Fund,USD,,
TARA,NASDAQ,Stock,USD,2014-10-22,2020-06-29
TARBX,NMFQS,Mutual Fund,USD,2013-10-03,2020-06-29
TAREX,NMFQS,Mutual Fund,USD,1999-01-04,2020-06-29
TARG,NASDAQ,Stock,USD,,
TARIF,OTCMKTS,Stock,USD,2017-09-07,2018-10-01
TARKX,NMFQS,Mutual Fund,USD,2011-06-30,2020-06-29
TARO,NYSE,Stock,USD,1993-04-01,2020-06-29
TARR,,Stock,USD,,
TARRQ,,Stock,USD,,
TARRX,NMFQS,Mutual Fund,USD,,
TARSF,PINK,Stock,USD,2009-09-02,2020-06-29
TARZX,NMFQS,Mutual Fund,USD,2019-03-15,2020-06-29
TAS,NYSE MKT,Stock,USD,,
TASBX,NMFQS,Mutual Fund,USD,2017-01-03,2019-12-05
TASCX,NMFQS,Mutual Fund,USD,1997-03-31,2020-06-29
TASDX,NMFQS,Mutual Fund,USD,2017-01-03,2019-12-05
TASEF,PINK,Stock,USD,2010-02-18,2020-06-29
TASHX,NMFQS,Mutual Fund,USD,2015-01-02,2020-06-29
TASIF,NYSE,Stock,USD,2016-01-04,2016-09-02
TASIX,NMFQS,Mutual Fund,USD,2010-01-04,2020-06-29
TASKX,NMFQS,Mutual Fund,USD,2017-01-03,2019-12-05
TASLX,NMFQS,Mutual Fund,USD,2017-01-03,2019-12-05
TASMX,NMFQS,Mutual Fund,USD,2016-01-04,2020-06-29
TASOX,NMFQS,Mutual Fund,USD,2017-01-03,2019-12-05
TASPX,NMFQS,Mutual Fund,USD,2017-01-03,2019-12-05
TASR,NASDAQ,Stock,USD,,
TAST,NASDAQ,Stock,USD,2006-12-15,2020-06-29
TASTX,NMFQS,Mutual Fund,USD,2016-01-04,2020-06-29
TASUX,NMFQS,Mutual Fund,USD,,
TASVX,NMFQS,Mutual Fund,USD,1993-01-05,2020-06-29
TASWX,NMFQS,Mutual Fund,USD,2017-06-12,2019-12-05
TASY,PINK,Stock,USD,2011-03-11,2019-11-15
